repo,path,sha,version,n_correlationIds,locations,location_classes,protocols,duplex_channel,reqreply_naming
dgomezs/learning-AI-agents,apps/product-catalog/api/events/asyncapi.yaml,d009274fd53e05a296dc2952da6fb9f5e6c449f3,2.6.0,2,$message.header#/correlationId,header:2,kafka,False,False
edward-hsu-1994/asyncapi-viewer,src/assets/test.yaml,3a95eea09287201afd465d843b3f267979c20f4c,2.4.0,5,$message.payload#/sentAt,payload:5,http|kafka|mqtt,False,False
fluximus-prime/fluximus-prime.github.io,docs/private/asyncapi.yaml,6ceb4ec7ecf3e7479064a09ea1f7d339e43527c4,2.6.0,10,$message.header#/traceId,header:10,kafka,False,False
hdulay/streaming-data-mesh,kafka-pubsub.yaml,a01b2800ed7e351d09b9ddd22a91734a57467e92,2.2.0,2,$message.payload#/CountryCode,payload:2,kafka,False,False
jbrannst/async,spec/async.yaml,66470f00ca108956a22c840a5f6fec6b48d68441,2.6.0,5,$message.payload#/sentAt,payload:5,amqp|http|kafka|mqtt,False,False
jstoiko/amf,amf-client/shared/src/test/resources/upanddown/cycle/async20/components-cycle.yaml,3561762969b04e26459c62757d139ecb143aac47,2.0.0,3,$message.header#/correlationId,header:3,amqp,False,False
jstoiko/amf,amf-client/shared/src/test/resources/validations/async20/components/async-components.yaml,755473a2f574afb15f40e0bb89fe94b3f3163d75,2.0.0,2,$message.header#/correlationId,header:2,amqp,True,False
jstoiko/amf,amf-client/shared/src/test/resources/validations/async20/message-obj.yaml,d9b2256fa529c8de5e69c181920f58715ecfc3ea,2.0.0,1,$message.header#/MQMD/CorrelId,header:1,undetermined,False,False
leefreemanxyz/redocly-async-api-reproduction,bundled.yaml,1fbfab58c16232a638b7bed0acbb34a5512436d3,2.6.0,2,$message.payload#/sentAt,payload:2,amqp|http|kafka|mqtt,False,False
lerenn/asyncapi-codegen,examples/ping/v2/asyncapi.yaml,02681e92b500857952f6048eb16a69949ec4d607,2.6.0,4,$message.header#/correlationId,header:4,undetermined,False,False
mcrawfo2/go-msx,schema/asyncapi/testdata/compliance-asyncapi.yaml,befbde7dba73811ccdbe8c818301fb9d02d024f6,2.4.0,4,$message.payload#/messageId,payload:4,undetermined,False,False
metricq/metricq-rpc-docs,manager.asyncapi.yaml,a97fd8958a7337feb6efb08f98355ab84a46d314,2.0.0,1,$message.header#/correlation_id,header:1,amqp,True,False
periclescesar/event-processor,docs/asyncapi.yaml,05d3da7c401a1d637da9986d57a7ab50711be06c,2.6.0,3,$message.header#/correlationId,header:3,amqp,False,False
prakhar47b/faststream-poc,asyncapi.yaml,787cb87a06966505d50822b5a2d40da6ea567363,2.6.0,4,$message.header#/correlation_id,header:4,amqp,False,False
shashanksaxena-tz/munciplaityTax,specs/1-withholding-reconciliation/contracts/event-w1-filed.yaml,dab983e4fc6a2a99f56beca48e7cedf7b4ffafa5,2.6.0,12,$message.payload#/businessId|$message.payload#/tenantId,payload:12,kafka|redis,False,False
siom79/jasyncapicmp,jasyncapicmp-maven-plugin/src/it/simple-it/new_2.6.0.yaml,28c8a67da414fc7b062a6fe6c58e7f8def63a8c5,2.6.0,2,$message.header#/correlationId,header:2,amqp,False,False
siom79/jasyncapicmp,jasyncapicmp-maven-plugin/src/it/simple-it/old_2.6.0.yaml,02508f6d44eb43d89e169202a9e7129b703a17e1,2.6.0,2,$message.header#/correlationId,header:2,amqp,False,False
somosphi/ts-seed-hexagonal,docs/asyncapi.yaml,9f164f92d8566afe4de6f3c03c79fb83cabd1e29,2.0.0,2,$message.header#/correlation_id,header:2,amqp,False,True
weidmueller/u-os-hub-api,variable-nats-asyncapi.yaml,ca3f480e5a647c24118ca190e58559e51ebac1f7,2.6.0,8,$message.header#/reply,header:8,nats,True,True
zuevrs/yanote,yanote-js/test/fixtures/asyncapi/trait-declarations-inline-v2.yaml,852f43930b1727546850a97addbbb4057e0ec118,2.6.0,1,$message.header#/correlation_id,header:1,kafka,False,False
zuevrs/yanote,yanote-js/test/fixtures/asyncapi/trait-declarations-trait-v2.yaml,05360b28c504520058169b85aa852f245803b13e,2.6.0,2,$message.header#/correlation_id,header:2,kafka,False,False
